name,aliases,price,available,notes
بنادول,"بندول,panadol,paracetamol",5 د.ل,متوفر,شريط
بروفين,"brufen,ibuprofen,بروفين 400",8,متوفر,400mg
أموكسيل,"amoxil,amoxicillin,اموكسيل",12,متوفر,500mg
فيفادول,"fevadol,فيفادول بلس",6 د.ل,متوفر,أقراص
كتافلام,"cataflam,diclofenac",14,متوفر,50mg
أوجمنتين,"augmentin,اوجمنتين",28,متوفر,1g
جلوسيد,"glocid,omeprazole",18,متوفر,20mg
أملور,"amlor,amlodipine",12,متوفر,5mg
كونكور,"concor,bisoprolol",30,متوفر,5mg
كابوتين,"capoten,captopril",15,متوفر,25mg
